Instance Formulation Graph_type n m r best_obj mip_gap runtime b&b_nodes cut_type prob_cut r_pct_trees_cut num_cuts separation_time
watts-strogatz-45.dat -FLOW watts-strogatz 30 90 1484 26433 0 0.93456 1 -none 0 0 0 0
watts-strogatz-46.dat -FLOW watts-strogatz 30 90 2968 17336 0 8.04524 481 -none 0 0 0 0
watts-strogatz-47.dat -FLOW watts-strogatz 30 90 4452 13079 0 5.14728 159 -none 0 0 0 0
watts-strogatz-48.dat -FLOW watts-strogatz 30 90 1484 27276 0 1.20046 66 -none 0 0 0 0
watts-strogatz-49.dat -FLOW watts-strogatz 30 90 2968 16917 0 3.27116 67 -none 0 0 0 0
watts-strogatz-50.dat -FLOW watts-strogatz 30 90 4452 12891 0 4.30078 183 -none 0 0 0 0
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.495741 179 -prim 50 1 0 0.0008271
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.512601 168 -knap 50 1.25 2 0.0011102
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.6796 176 -knap 50 1.5 8 0.00211663
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.589161 161 -prim 100 1 8 0.00177496
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.559339 159 -knap 100 1.25 7 0.00143084
watts-strogatz-45.dat -FLOW+ watts-strogatz 30 90 1484 26433 0 0.683497 179 -knap 100 1.5 5 0.00189114
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 8.03691 1714 -prim 50 1 32 0.0102516
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 8.8395 2009 -knap 50 1.25 9 0.00962484
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 10.9943 2325 -knap 50 1.5 55 0.0132343
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 9.55462 1978 -prim 100 1 78 0.0108476
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 7.89126 1635 -knap 100 1.25 65 0.0104396
watts-strogatz-46.dat -FLOW+ watts-strogatz 30 90 2968 17336 0 7.32955 1551 -knap 100 1.5 72 0.0105293
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 3.3523 370 -prim 50 1 4 0.0026211
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 3.6001 460 -knap 50 1.25 2 0.00272922
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 3.19271 370 -knap 50 1.5 2 0.00238325
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 3.37909 416 -prim 100 1 14 0.00290383
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 3.18164 352 -knap 100 1.25 8 0.00263614
watts-strogatz-47.dat -FLOW+ watts-strogatz 30 90 4452 13079 0 2.96871 339 -knap 100 1.5 22 0.00343658
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 0.843551 484 -prim 50 1 0 0.00211341
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 1.16317 494 -knap 50 1.25 21 0.00410378
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 0.929216 484 -knap 50 1.5 0 0.0025948
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 1.01834 471 -prim 100 1 16 0.00389784
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 0.993605 519 -knap 100 1.25 23 0.00500086
watts-strogatz-48.dat -FLOW+ watts-strogatz 30 90 1484 27276 0 0.843775 456 -knap 100 1.5 22 0.00415821
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.22479 132 -prim 50 1 8 0.00150009
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.10708 141 -knap 50 1.25 0 0.000735508
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.37348 132 -knap 50 1.5 9 0.00176821
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.24911 142 -prim 100 1 13 0.00139378
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.18663 129 -knap 100 1.25 25 0.00144218
watts-strogatz-49.dat -FLOW+ watts-strogatz 30 90 2968 16917 0 1.21272 145 -knap 100 1.5 8 0.00142529
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 1.80758 173 -prim 50 1 9 0.00149794
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 2.02382 186 -knap 50 1.25 10 0.00218581
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 1.93071 168 -knap 50 1.5 5 0.00122534
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 2.05887 176 -prim 100 1 15 0.0017878
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 1.93103 175 -knap 100 1.25 3 0.00198491
watts-strogatz-50.dat -FLOW+ watts-strogatz 30 90 4452 12891 0 2.0189 178 -knap 100 1.5 11 0.00204669
